FILE|INDFILE|TAG|EXPRESSION|FOREXPR|DESCRIP|UNIQUE|DESCEND|PRIMARY|AUTO_FLD|AUTO_EXPR|SELECT|COLLATE
DRPS|DRPS|TICKER|TICKER||Ticker of DRPS stock|F|F|T|||T|Machine
PFCOMP|PFCOMP|PFID|PFID||Portfolio grouping|F|F|T|||T|Machine
PFCOMP|PFCOMP|COMPANY_ID|COMPANY_ID||Company Id grouping|F|F|F|||T|Machine
PRJCT|PRJCT|PRJID|PRJID||Lookup index|F|F|F|||T|Machine
PRJCT|PRJCT|PRJNAME|UPPER(PRJNAME)||Display sort index|F|F|F|||T|Machine
PRTFLIO|PRTFLIO|PFID|PFID||Portfolios by id #|F|F|T|||T|Machine
PRTFLIO|PRTFLIO|PORTFOLIO|UPPER(PORTFOLIO)||portfolios by alpha|F|F|F|||T|Machine
SCRNDT|SCRNDT|SCRNID|STR(SCRNID)+STR(FLTORD)||Screens by id #|F|F|T|||T|Machine
SCRNDT|SCRNDT|FLTORD|FLTORD||entry order of crit.|F|F|F|||T|Machine
SCRNHD|SCRNHD|SCRNID|SCRNID||screens by id #|F|F|F|||T|Machine
SCRNHD|SCRNHD|SCRNNAME|UPPER(SCRNNAME)||screens by alpha|F|F|T|||T|Machine
SI_AVG|SI_AVG|FIELD_NAME|UPPER(FIELD_NAME)||alpha field name|F|F|T|||T|Machine
SI_EXCHG|SI_EXCHG|EXCHG_CODE|EXCHG_CODE||Code for exchange|F|F|T|||T|Machine
SI_MGDSC|SI_MGDSC|MG_CODE|MG_CODE||Industry code|F|F|T|||T|Machine
UDFLDS|UDFLDS|UDFNO|UDFNO||UFD number|F|F|T|||T|Machine
UDFLDS|UDFLDS|NAME|UPPER(NAME)||Alpha variable name|F|F|F|||T|Machine
USRPTDT|USRPTDT|RPTID|RPTID||Report id #|F|F|F|||T|Machine
USRPTDT|USRPTDT|FIELD_NAME|UPPER(FIELD_NAME)||Alpha field name|F|F|F|||T|Machine
USRPTS|USRPTS|RPTID|RPTID||Report id #|F|F|F|||T|Machine
