FIELD_NAME|AVERAGE|HIGH|LOW|SAMPLE|MEDIAN|STDDEV
ADJUST_12M|-23.18|2217.79|-12944.00|5078|0.00|255.36
ADJUST_Q1|-5.92|1199.00|-3977.00|5591|0.00|77.56
ADJUST_Q2|-7.08|798.69|-3365.00|5632|0.00|70.78
ADJUST_Q3|-5.70|705.06|-2361.00|5593|0.00|57.86
ADJUST_Q4|-5.32|2843.42|-3241.00|5717|0.00|81.95
ADJUST_Q5|-6.38|834.00|-3975.00|5614|0.00|78.15
ADJUST_Q6|-6.92|792.93|-4459.00|5583|0.00|80.22
ADJUST_Q7|-5.09|2269.87|-2875.00|5537|0.00|66.95
ADJUST_Q8|-5.72|1255.29|-2523.11|5597|0.00|72.84
ADJUST_Y1|-23.19|2479.73|-12613.00|5409|0.00|246.14
ADJUST_Y2|-23.22|3375.12|-8944.00|5400|0.00|231.07
ADJUST_Y3|-18.49|8328.57|-12236.00|5351|0.00|262.47
ADJUST_Y4|-18.58|1859.80|-11217.00|5239|0.00|229.40
ADJUST_Y5|-24.36|1605.83|-15324.00|5125|0.00|295.64
ADJUST_Y6|-50.16|2586.00|-85438.00|5073|0.00|1426.32
ADJUST_Y7|-29.58|1223.42|-20047.00|4940|0.00|449.98
AP_Q1|632.29|216638.00|0.00|5995|8.93|5417.97
AP_Q2|635.64|207733.00|0.00|5994|8.77|5261.79
AP_Q3|629.54|207611.00|0.00|5957|8.51|5252.80
AP_Q4|654.92|196710.00|0.00|5908|8.70|5193.54
AP_Q5|646.94|209707.00|0.00|5878|8.24|5420.87
AP_Q6|647.66|201737.00|0.00|5790|8.23|5411.13
AP_Q7|628.82|194924.00|0.00|5730|7.86|5301.08
AP_Q8|673.53|191510.00|0.00|5623|8.34|5453.48
AP_Y1|626.20|196710.00|0.00|6015|8.60|5092.89
AP_Y2|621.00|191510.00|0.00|5967|7.50|5232.91
AP_Y3|579.37|190543.00|0.00|5836|6.85|5111.77
AP_Y4|578.67|210362.00|0.00|5609|6.80|5130.23
AP_Y5|773.22|822851.00|0.00|5383|6.70|12510.50
