COMPANY_ID|TCO_12M|TCO_Y1|TCO_Y2|TCO_Y3|TCO_Y4|TCO_Y5|TCO_Y6|TCO_Y7|CE_12M|CE_Y1|CE_Y2|CE_Y3|CE_Y4|CE_Y5|CE_Y6|CE_Y7|TCI_12M|TCI_Y1|TCI_Y2|TCI_Y3|TCI_Y4|TCI_Y5|TCI_Y6|TCI_Y7|TCF_12M|TCF_Y1|TCF_Y2|TCF_Y3|TCF_Y4|TCF_Y5|TCF_Y6|TCF_Y7|ERE_12M|ERE_Y1|ERE_Y2|ERE_Y3|ERE_Y4|ERE_Y5|ERE_Y6|ERE_Y7|NCC_12M|NCC_Y1|NCC_Y2|NCC_Y3|NCC_Y4|NCC_Y5|NCC_Y6|NCC_Y7|DEP_CF_12M|DEP_CF_Y1|DEP_CF_Y2|DEP_CF_Y3|DEP_CF_Y4|DEP_CF_Y5|DEP_CF_Y6|DEP_CF_Y7|CFPS_12M|CFPS_Y1|CFPS_Y2|CFPS_Y3|CFPS_Y4|CFPS_Y5|CFPS_Y6|CFPS_Y7|FCFPS_12M|FCFPS_Y1|FCFPS_Y2|FCFPS_Y3|FCFPS_Y4|FCFPS_Y5|FCFPS_Y6|FCFPS_Y7|TCO_Y8|NCC_Y8|CFPS_Y8|FCFPS_Y8|CE_Y8|REPNO|LASTMOD|UPDATED|DIVPAID_Y1|DIVPAID_Y2|DIVPAID_Y3|DIVPAID_Y4|DIVPAID_Y5|DIVPAID_Y6|DIVPAID_Y7|DIVPAID_12
00005|-5.3|-5.2|-4.9|-3.7|-2.4|-2.0|-1.4||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.6|4.6|5.3|4.0|2.2|2.0|1.7||-0.3|-0.1|0.0|0.2|-0.2|-0.1|0.0|||-0.8|0.4|0.4|-0.4|0.0|0.3||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||-0.02|0.01|0.01|-0.02|0.00|0.02||-0.15|-0.16|-0.16|-0.14|-0.09|-0.09|-0.07||||||0.0|00005|07/17/2019|T|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
00021|20.8|27.3|10.4|9.4|9.4|7.5|5.2||46.4|39.9|187.7|121.3|9.0|224.8|2.7||-48.0|-39.3|-187.7|-121.3|-9.0|-226.8|-2.7||66.6|41.1|147.6|24.2|115.8|224.7|-2.7||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|39.4|29.1|-29.6|-87.8|116.2|5.4|-0.2||19.2|18.5|18.3|16.8|13.8|4.7|4.4||2.21|1.63|-1.74|-7.68|6.31|0.29|-0.01||-2.39|-1.67|-11.38|-10.67|-0.84|-15.46|-0.10|||||||00021|08/20/2019|T|-17.0|-16.6|-10.0|-15.9|-67.5|-4.4|0.0|-17.1
00037|31.2|15.7|5.0|1.7|||||54.9|79.8|38.6|30.0|||||-394.7|-199.3|-38.6|-30.0|||||419.8|184.9|12.4|61.3|||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|56.3|1.3|-21.2|33.0|||||6.0|2.6|0.9|0.0|||||5.03|0.18|-6.29|3.28|||||-3.86|-9.89|-10.27|-2.82||||||||||00037|09/13/2019|T|-8.0|-1.1|0.0|0.0|0.0|0.0|0.0|-16.1
00065|27.8|29.5|17.0|12.1|14.4|10.8|18.0|9.3|1.4|1.7|1.8|2.3|1.7|3.1|2.2|2.0|-28.6|-53.6|-52.0|-59.4|-64.1|-44.1|-38.1|-17.8|54.8|30.5|50.5|47.5|48.8|34.9|-13.1|37.3|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|54.0|6.5|15.5|0.2|-0.9|1.6|-33.3|28.8|2.8|2.9|2.3|1.8|1.8|2.1|2.0|2.0|7.64|0.92|2.37|0.03|-0.15|0.26|-5.57|4.83|2.78|3.06|1.53|0.82|1.30|0.51|1.88|0.46|18.2|-1.6|-0.26|1.97|1.9|00065|07/11/2019|T|-6.3|-5.2|-4.8|-4.8|-4.6|-4.5|-4.5|-6.8
000B3|51.7|66.3|91.4|106.0|120.9|125.3|139.3||49.4|37.1|27.8|26.2|27.1|28.8|19.6||-36.6|30.2|-31.0|-29.3|-37.1|-29.5|-11.1||-38.4|-99.0|-45.7|-60.0|-94.8|-90.4|-131.7||1.5|-2.2|1.1|4.4|-2.5|2.0|-2.5||-21.8|-4.7|15.8|21.1|-13.5|7.4|-6.0||49.5|45.8|44.5|43.3|41.7|40.7|37.1||-0.65|-0.14|0.47|0.64|-0.42|0.23|-0.19||0.06|0.86|1.91|2.43|2.89|2.98|3.69|||||||000B3|07/17/2019|T|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
000BE|59.6|-19.2|33.2|75.6|25.6|5.9|69.1||7.2|60.7|79.3|48.5|15.4|12.1|9.1||-5.0|-119.6|-229.1|-84.4|-15.6|-12.8|-133.1||-49.5|132.9|202.9|14.7|-17.6|1.4|76.9||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|5.1|-5.9|7.0|5.9|-7.6|-5.5|12.9||46.9|46.0|37.8|24.6|19.1|18.9|14.4||0.08|-0.09|0.11|0.09|-0.12|-0.09|0.20||0.63|-1.42|-0.84|0.42|0.16|-0.10|0.94|||||||000BE|07/15/2019|T|-12.8|-6.4|0.0|-0.2|0.0|0.0|0.0|-12.5
000CD|959.0|448.0|1224.0|-311.0|875.0|842.0|452.0||393.0|399.0|405.0|404.0|391.0|444.0|567.0||-482.0|-405.0|-226.0|-149.0|-384.0|-338.0|-802.0||-645.0|-288.0|-506.0|749.0|-162.0|-444.0|429.0||-14.0|-4.0|13.0|13.0|-38.0|-7.0|-14.0||-182.0|-249.0|505.0|302.0|291.0|53.0|65.0||704.0|733.0|752.0|718.0|780.0|954.0|1026.0||-0.99|-1.32|2.70|1.65|1.59|0.29|0.36||3.01|0.26|4.38|-3.91|2.65|2.18|-0.63|||||||000CD|08/01/2019|T|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
000EB|277.0|162.0|205.0|231.0|274.6|306.7|312.9||71.0|63.0|60.0|48.0|41.6|60.4|79.3||-57.0|-55.0|-277.0|-41.0|-121.1|-134.8|-78.0||-222.0|-116.0|6.0|-187.0|-171.6|-177.9|-237.7||0.0|-2.0|5.0|-3.0|-12.2|-13.9|1.8||-2.0|-11.0|-61.0|0.0|-30.3|-19.9|-1.0||123.0|138.0|160.0|171.0|181.4|182.0|193.7||-0.06|-0.33|-1.80|0.00|-0.93|-0.61|-0.03||5.41|1.89|3.28|5.34|7.19|7.60|7.20|||||||000EB|10/10/2019|T|-35.0|-34.0|-8.0|0.0|0.0|0.0|0.0|-26.0
000ED|9.8|6.2|4.8|3.7|2.4|1.5|||0.1|1.3|0.7|1.3|0.0|0.0|||-15.3|-16.8|-28.9|-6.9|-13.2|-5.2|||16.0|9.8|23.5|3.0|6.8|8.6|||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|10.5|-0.8|-0.6|-0.3|-4.0|5.0|||0.1|0.0|0.0||||||0.51|-0.05|-0.05|-0.02|-0.35|0.43|||0.01|-0.12|0.07|0.22|0.21|0.13||||||||000ED|04/15/2019|T|-6.8|-3.3|0.0|0.0|0.0|0.0|0.0|-8.9
000EE|3.9|12.0|-0.1|0.0|||||6.3|3.1|||||||-6.2|-6.4|-45.1||||||1.3|-6.2|45.8|0.0|||||0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-1.0|-0.6|0.5|0.0|||||2.7|2.1|||||||-0.04|-0.03|0.38|0.01|||||-0.12|0.37||||||||||||000EE|07/18/2019|T|-1.2|0.0|0.0|0.0|0.0|0.0|0.0|-0.2
