COMPANY_ID|TCO_Q1|TCO_Q2|TCO_Q3|TCO_Q4|TCO_Q5|TCO_Q6|TCO_Q7|TCO_Q8|CE_Q1|CE_Q2|CE_Q3|CE_Q4|CE_Q5|CE_Q6|CE_Q7|CE_Q8|TCI_Q1|TCI_Q2|TCI_Q3|TCI_Q4|TCI_Q5|TCI_Q6|TCI_Q7|TCI_Q8|TCF_Q1|TCF_Q2|TCF_Q3|TCF_Q4|TCF_Q5|TCF_Q6|TCF_Q7|TCF_Q8|ERE_Q1|ERE_Q2|ERE_Q3|ERE_Q4|ERE_Q5|ERE_Q6|ERE_Q7|ERE_Q8|NCC_Q1|NCC_Q2|NCC_Q3|NCC_Q4|NCC_Q5|NCC_Q6|NCC_Q7|NCC_Q8|DEP_CF_Q1|DEP_CF_Q2|DEP_CF_Q3|DEP_CF_Q4|DEP_CF_Q5|DEP_CF_Q6|DEP_CF_Q7|DEP_CF_Q8|CFPS_Q1|CFPS_Q2|CFPS_Q3|CFPS_Q4|CFPS_Q5|CFPS_Q6|CFPS_Q7|CFPS_Q8|FCFPS_Q1|FCFPS_Q2|FCFPS_Q3|FCFPS_Q4|FCFPS_Q5|FCFPS_Q6|FCFPS_Q7|FCFPS_Q8|DCFBS_Q1|DCFBS_Q2|DCFBS_Q3|DCFBS_Q4|DCFO_Q1|DCFO_Q2|DCFO_Q3|DCFO_Q4|DCF_Q1|DCF_Q2|DCF_Q3|DCF_Q4|REPNO|LASTMOD|UPDATED|DIVPAID_Q1|DIVPAID_Q2|DIVPAID_Q3|DIVPAID_Q4|DIVPAID_Q5|DIVPAID_Q6|DIVPAID_Q7|DIVPAID_Q8
00005|-1.5|-1.3|-1.2|-1.4|-1.5|-1.2|-1.6|-1.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|1.5|1.3|1.5|1.2|1.2|0.6|0.0|2.9|0.0|0.0|-0.3|0.1|0.1|0.0|0.0|0.0||0.0|0.0|-0.1|-0.1|-0.6|-1.6|1.9|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0||0.00|0.00|0.00|0.00|-0.02|-0.06|0.06|-0.04|-0.04|-0.03|-0.04|-0.04|-0.04|-0.06|-0.03|523.70|633.36|431.69|111.40|-404.16|-638.65|-412.73|-168.92|-927.86|-1272.01|-844.42|-280.32|00005|11/15/2019|T|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
00021|7.9|-1.5|12.0|2.4|9.8|4.0|11.0|2.4|13.6|11.2|10.2|11.4|9.2|9.1|10.1|6.2|-15.1|-11.2|-10.2|-11.5|-9.0|-8.7|-10.1|-77.8|-5.0|42.9|-5.0|33.7|-4.3|-3.6|15.3|28.6|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-12.2|30.2|-3.2|24.7|-3.4|-8.3|16.1|-46.8|5.1|4.7|4.7|4.7|4.5|4.6|4.7|5.0|-0.68|1.69|-0.18|1.38|-0.19|-0.46|0.91|-2.63|-0.56|-0.95|-0.14|-0.74|-0.20|-0.53|-0.19|-0.45|-10.26|160.86|-5.31|126.38|-33.27|-65.89|-22.30|-38.01|-23.00|-226.75|-16.99|-164.39|00021|11/15/2019|T|-4.3|-4.3|-4.3|-4.3|-4.3|-4.3|-4.3|-4.3
00037|10.5|8.5|6.2|6.1|5.9|2.3|1.4|3.5|23.9|13.0|6.8|11.2|7.2|||5.9|-138.2|-5.4|-93.8|-157.3|28.0|-21.2|-48.8|-27.4|179.5|-4.8|133.9|111.2|-2.0|-2.0|77.7|13.5|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|51.8|-1.8|46.2|-40.0|31.8|-20.9|30.3|-10.4|2.2|1.6|1.2|0.9|0.7|0.5|0.5|0.4|4.69|-0.18|4.71|-4.19|4.69|-3.08|5.03|-3.08|-1.75|-0.92|-0.42|-0.78|-0.45|||-0.86|76.16|145.36|1983.21|42.75|371.90|-290.91|-1279.32|-873.04|295.74|-436.27|-3262.53|-915.79|00037|11/15/2019|T|-5.9|-4.4|-3.4|-2.4|-1.7|-1.7|-0.9|-0.5
00065|6.9|6.0|6.8|8.1|6.9|7.0|7.6|7.1|0.3|0.1|0.2|0.8|0.2|0.3|0.4|0.7|-15.7|10.0|2.3|-25.1|-25.1|-10.7|7.2|-8.3|49.9|-0.7|11.4|-5.7|18.8|6.6|10.9|-13.8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|41.1|15.3|20.4|-22.8|0.6|2.9|25.8|-15.1|0.7|0.7|0.7|0.7|0.7|0.7|0.7|0.7|5.82|2.16|2.90|-3.24|0.09|0.40|3.67|-2.14|0.68|0.59|0.72|0.79|0.72|0.71|0.83|0.71|290.14|6.03|105.20|-21.64|31.69|40.98|13.72|8.97|-258.44|34.95|-91.48|30.61|00065|11/15/2019|T|-1.8|-1.8|-1.6|-1.6|-1.6|-1.6|-1.4|-1.4
000B3|61.1|3.0|-68.3|55.9|60.6|3.4|-53.6|57.7|8.9|11.1|15.1|14.3|7.2|9.2|6.4|7.8|19.3|-11.6|-17.1|-27.2|73.0|-9.2|-6.4|-7.9|-55.5|6.9|47.1|-36.9|-89.5|7.0|20.4|-30.5|0.0|0.7|1.5|-0.7|0.3|-1.5|-0.3|0.5|24.9|-1.0|-36.8|-8.9|44.4|-0.3|-39.9|19.8|12.7|12.0|12.1|12.7|11.6|11.1|10.4|12.8|0.73|-0.03|-1.08|-0.26|1.30|-0.01|-1.18|0.59|1.52|-0.24|-2.45|1.23|1.56|-0.17|-1.77|1.49|-2.19|-15.45|30.27|4.79|15.42|13.87|-44.51|-9.09|17.61|29.32|-74.78|-13.88|000B3|11/15/2019|T|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
000BE|61.2|0.2|-39.4|37.6|-12.9|28.5|-72.4|93.2|0.0|0.0|3.0|4.2|1.7|9.0|5.3|-2.1|0.8|11.9|-7.2|-10.5|-19.9|-16.3|-72.9|-18.0|-48.7|-19.1|48.2|-29.9|34.4|-11.7|140.2|-71.4|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|13.3|-7.0|1.6|-2.8|1.6|0.4|-5.1|3.7|11.0|11.4|12.4|12.1|11.8|11.1|11.0|11.0|0.21|-0.11|0.03|-0.04|0.02|0.01|-0.08|0.06|0.92|-0.05|-0.72|0.48|-0.27|0.25|-1.26|1.34|5.98|-2.93|4.76|0.44|-2.04|0.98|-5.42|3.09|-8.02|3.90|-10.18|2.65|000BE|11/15/2019|T|-3.1|-3.2|-3.1|-3.1|-3.3|-3.2|-3.2|-3.2
000CD|174.0|82.0|168.0|535.0|288.0|-430.0|55.0|455.0|87.0|89.0|69.0|148.0|82.0|95.0|74.0|150.0|-76.0|-199.0|-59.0|-148.0|-83.0|-100.0|-74.0|-170.0|-81.0|-71.0|-199.0|-294.0|-280.0|433.0|-147.0|-53.0|-10.0|5.0|-6.0|-3.0|6.0|-11.0|4.0|7.0|7.0|-183.0|-96.0|90.0|-69.0|-108.0|-162.0|239.0|184.0|174.0|172.0|174.0|172.0|193.0|194.0|188.0|0.04|-0.98|-0.52|0.48|-0.37|-0.57|-0.86|1.30|0.47|-0.04|0.54|2.05|1.10|-2.78|-0.10|1.66|-10.13|-10.70|12.73|-7.92|10.36|2.99|-13.98|10.11|20.49|13.68|-26.70|18.03|000CD|11/15/2019|T|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0
000EB|86.0|27.0|-24.0|188.0|0.0|-2.0|-24.0|147.0|11.0|21.0|28.0|11.0|15.0|17.0|20.0|9.0|-7.0|-21.0|-31.0|2.0|-25.0|-13.0|-19.0|-59.0|-78.0|-2.0|46.0|-188.0|22.0|19.0|31.0|-77.0|0.0|0.0|1.0|-1.0|1.0|-3.0|1.0|0.0|1.0|4.0|-8.0|1.0|-2.0|1.0|-11.0|11.0|29.0|31.0|31.0|32.0|34.0|34.0|38.0|42.0|0.03|0.12|-0.24|0.03|-0.06|0.03|-0.32|0.32|2.24|-0.06|-1.83|5.06|-0.69|-0.82|-1.53|3.72|-7.31|-0.69|25.44|-2.77|7.07|2.30|-26.63|1.49|14.39|2.99|-52.07|4.26|000EB|11/15/2019|T|0.0|-8.0|-9.0|-9.0|-8.0|-9.0|-9.0|-9.0
000ED|3.6|2.6|1.2|2.5|0.8|2.9|1.3|2.1|0.0|0.0|0.1|-0.1|0.0|0.1|0.0|-0.1|-6.9|-2.9|-4.7|-0.8|-5.9|-10.1|-4.3|-9.9|11.2|2.4|4.5|-2.1|3.4|8.5|2.6|7.8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|7.9|2.0|0.9|-0.4|-1.7|1.3|-0.4|-0.1|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.37|0.11|0.06|-0.02|-0.11|0.08|-0.03|0.00|0.06|0.03|-0.10|0.03|-0.06|-0.02|-0.02|0.03||-298.00|50.18|132.77||405.09|-49.91|-148.16||703.09|-100.09|-280.93|000ED|11/15/2019|T|-2.3|-2.1|-2.6|-1.9|-1.7|-3.2|-1.6|-1.6
000EE|-1.6|-0.5|2.5|3.5|8.7|-0.2|3.6|-0.1|0.2|3.8|1.3|0.9|||1.3||0.0|-3.4|-1.4|-1.4|-5.0|0.0|0.0|0.0|1.5|3.9|0.3|-4.4|-1.8|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|0.0|-0.1|0.0|1.4|-2.3|1.9|-0.2|-0.1|-0.1|0.7|0.7|0.7|0.6|||0.5||-0.01|0.00|0.06|-0.10|0.09|-0.01|-0.06|-0.07|-0.09|-0.20|0.05|0.11|||0.97||4.55|6.21|17.31|-19.48|-4.35|-5.46|-16.35|15.92|-8.90|-11.67|-33.66|35.41|000EE|11/15/2019|T|-0.1|-0.1|0.0|0.0|0.0|0.0|-0.3|0.0
