00005||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
00021|12/31/2019|06/30/2019|0.030|0.030||0.030|0.030|1|0|0|0.0|0.060|0.060||0.060|0.060|1|0|0|0.0|0.640|0.640||0.640|0.640|1|0|0|0.0|0.000|0.000||0.000|0.000|1|0|0||0.000|0.000||0.000|0.000|1|0|0||||||||||-0.030|08/06/2019|-0.015|-0.015|-100.0|0.035|-0.4|113.6|100.0|966.7|-0.005|-0.165|-0.190|0.240|0.640|05/09/2019|-0.010|-0.010|0.000|||0.0|03/31/2019|12/02/2019|03/19/2020
00037|12/31/2019|09/30/2019|1.800|1.730||1.800|1.800|1|1|0|4.0|3.850|3.190||3.850|3.850|1|1|0|20.7|4.770|4.770||4.770|4.770|1|0|0|0.0|0.600|0.575||0.600|0.600|1|1|0|4.3|0.800|0.565||0.800|0.800|1|1|0|41.6|||||||||0.550|11/06/2019|0.475|0.075|15.8|0.007|10.7|140.0|113.9|23.9|0.560|0.620|1.710|2.985|4.770|08/07/2019|0.005|0.300|0.295|1.7|0.007|0.7|06/30/2019|03/20/2020|05/26/2020
00065||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
000B3|12/31/2019|09/30/2019|1.034|1.325|0.039|1.110|1.000|6|0|6|-22.0|1.294|1.504|0.167|1.440|1.050|6|0|6|-14.0|1.400|1.679|0.159|1.550|1.180|4|0|4|-16.6|0.101|0.282|0.040|0.170|0.060|6|0|6|-64.2|0.184|0.226|0.076|0.270|0.109|5|2|3|-18.6|||||||||0.130|11/05/2019|0.235|-0.105|-44.7|0.051|-2.1|-34.1|25.1|8.2|0.280|0.217|1.318|1.500|1.585|08/01/2019|0.032|0.740|0.708|4.5|0.042|0.8|06/30/2019|02/28/2020|05/04/2020
000BE|10/31/2019|07/31/2019|0.529|0.529|0.024|0.560|0.490|7|0|0|0.0|0.828|0.828|0.134|1.050|0.650|8|0|0|0.0|1.096|1.096|0.169|1.302|0.880|5|0|0|0.0|0.134|0.134|0.041|0.220|0.080|8|0|0|0.0|-0.010|-0.010|0.074|0.090|-0.100|5|0|0|0.0|17.307|17.307||17.307|17.307|1|0|0|0.210|09/04/2019|0.424|-0.214|-50.5|0.041|-5.2|-52.3|56.5|32.4|0.518|0.130|1.138|1.367|1.596|06/05/2019|-0.007|0.240|0.247|-2.8|0.043|-0.2|04/30/2019|12/19/2019|03/06/2020
000CD|12/31/2019|09/30/2019|-0.833|-0.546|0.126|-0.550|-0.960|15|3|8|-52.6|0.918|0.959|0.603|1.969|0.050|15|0|3|-4.3|1.549|1.608|0.827|2.970|0.550|10|0|2|-3.7|-0.225|-0.115|0.050|-0.110|-0.270|9|2|5|-95.7|0.117|0.147|0.116|0.322|-0.010|7|2|6|-20.4|-15.400|-15.400||-15.400|-15.400|1|1|1|-0.440|10/16/2019|-0.335|-0.105|-31.3|0.242|-0.4|-123.3|210.2|68.7|0.056|0.235|-0.210|1.304|1.805|07/17/2019|0.123|-0.010|-0.133|92.5|0.347|0.4|06/30/2019|01/17/2020|04/20/2020
000EB|12/31/2019|09/30/2019|-0.300|0.120||-0.300|-0.300|1|0|2|-350.0|0.027|0.243|0.241|0.280|-0.200|3|0|2|-88.9||||||||||-0.170|0.110|0.014|-0.160|-0.180|2|0|2|-254.5|-0.220|-0.140|0.042|-0.190|-0.250|2|0|2|-57.1|||||||||-0.060|11/07/2019|0.113|-0.173|-153.1|0.130|-1.3|-124.4|109.0||0.174|-0.215|1.067|0.776||08/08/2019|-0.253|0.080|0.333|-76.0|0.217|-1.2|06/30/2019|02/21/2020|05/04/2020
000ED|12/31/2019|09/30/2019|0.400|0.400||0.400|0.400|1|0|0|0.0|0.500|0.500||0.500|0.500|1|0|0|0.0||||||||||0.110|0.110||0.110|0.110|1|0|0|0.0|0.120|0.120||0.120|0.120|1|0|0|0.0|||||||||0.100|11/14/2019|0.100|0.000|0.0||0.0||25.0||0.120|0.120|0.450|0.500||08/14/2019|-0.030|0.060|0.090|-33.3||0.0|06/30/2019||
000EE||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
0013N|05/31/2020|08/31/2019|2.611|2.611|0.018|2.630|2.592|4|0|0|0.0|2.965|2.965|0.053|3.020|2.905|5|0|0|0.0|3.194|3.194||3.194|3.194|1|0|0|0.0|0.596|0.596|0.036|0.630|0.538|5|0|0|0.0|0.708|0.708|0.022|0.740|0.681|5|0|0|0.0|16.747|16.898|9.125|23.200|10.295|2|0|1|0.570|09/25/2019|0.514|0.056|10.9|0.017|3.3|10.6|13.6|7.7|0.628|0.689|2.574|2.945|3.145|07/10/2019|0.017|0.640|0.623|2.7|0.008|2.1|05/31/2019|12/19/2019|03/20/2020
