00005||||||||||||||||||||||||||95|100||||||||||||||0|0||||||||||||||||45|36|13||46|39|15||61|47|39|15||57|8|44|23|||47|28|22||57||||||4|2|0|0|0|0|60|45|||||||||||||||||8|7|9|9|5|9|||||||||98|96|97||8|6|30|2||31|8|7|||||99|98|79|100||98|||0||||||0||||59||||||71|49|0|0|0|0|14|16|16|11||25|27|44|19|22|15|13|98|18|35|||||||||0|||||4|5|0||0|0|47|39|15||58||22|16|11|87
00021||99|98|54|||||||||||||||||65|71||||43|50||||11||||||||||89|82|||||||38|56|82||42|47|60|87||24|17|20||23|13|14||76|23|13|14||79|83|28|99||84|81|26|3||18|10||||77|35|35|44|45|44|40|85|86|85|85|85|72|31|29|30|29|33|70||||||0|58|58|59|58|58|56|40|41|41|41|42|49|30|28|27|25|29|83|||||||||||||88|87|86|87|88|88|95|95|95|95|95|96|||||||||||||18|18|26|26|25|24|45|44|48|42||28|26|51|24|24|26|21||39|29||79|75|80|81|83|81|38|36|38|38|38|40|91|88|87|92|92||23|13|14||80|32|28|61|47|0
00037|92|90|73|66|94||||87||||||||||||55|59|43|||97|95|99|||35|32|||||||||88|79|||||||96||||97|94||||||||99||||93|99||||94|69||||55|47|||||97||||97|20|16|24|16|||98|98|99|85|||98|95|26||||94|95|||||50|42|32|31|||67|65|39||||43|40|31||||||||||||||||17|4|4|2|||51|0|0|0|||54|0|0|0|||||||||14|16|25||||91|94|85|35||67|69|89|17|56|95|87||61|24||91|84|26||||||||||||||||99||||94|96|27|63|75|70
00065|17||||29|21|14|11|16|34|32|17|17|20|12|9|25|18|17|33|38|40|27|24|21|69|71|69|68|69|13|38|95|||31|30|44|50|50|83|80|55|63|70|29||25|76|74|67|56|61|||||88|69|73|71|86|60|62|60|61|81|60|62|61|58|42|92|67|85|90|84|74|55|49|41|66|43|41|41|72|30|30|39|38|37|37|||||||94|93|82|90|91|91|60|63|77|71|71|73|64|64|65|62|61|60|55|55|48|52|52|47|69|66|48|57|57|54|||||||||||||81|82|82|81|81|82|0|0|0|0|0|33|0|0|0|0|0|34|||||||8|8|16|14|15|15|74|73|79|63||16|15|68|51|43|45|44|11|44|16||98|97|98|98|97|97|70|68|63|67|66|62|||||||81|60|62|61|59|52|47|38|46|68
000B3|21|13|10|10|16|40|||8|75|24|||41|||40|||7|34|60|81|||14|17|18||||44||||95|38|23|||0|0|||||||16|16|18|17|13|25|19|23||99|33|38||99|27|31|38|25|94|27|31||21|30|65|57||14|24|20|15||15||||||62|63|70|71|72|72|45|47|47|46|50|50|45|61|38|58|69|52|0|0|0|0|0|0|55|55|57|59|57|60|66|84|53|82|91||66|87|49|73|78||45|35|41|52|43|37|54|45|49|61|51|45|61|65|72|78|15|56|82|84|91|92|35|42|86|88|96|98|36|43|92|90|87|88|89||71|74|77|77|78||45|50|50|32|93|51|58|16|25|23|22|17||48|49||52|63|55|58|69|50|52|64|50|80|98|95|19|39|30|33|58||94|27|31||22|7|19|99|65|65
000BE||75|56|42|51||||100|88||||||||||78|47|35||||14|8||||85|||||54|97||||71|74|||||33||36|61|74||31|20|69|78||22|29|32||19|25|26||8|14|9|8||9|18|52|33||99|21|3|12|||89||||24|76|76|80|79|77|77|8|8|11|11|9|8|31|37|40|41|40|31||90|61|0|0|0|61|62|61|57|55|55|35|50|64|71|67||28|38|50|66|58||61|58|51|47|61|56|28|26|21|19|29|24|51|52|43|60|56|60|70|71|57|75|73|78|74|74|59|79|77|82|40|40|46|53|56||91|89|94|95|96||53|46|44|75|66|58|49|86|82|82|78|70||60|43|79|29|33|37|40|39|30|33|39|59|52|49|36|71|68|75|81|83||14|9|8||9|1|71||53|68
000CD|||74|47|99||||79|77||||||||||97|17|25|27|||13|13|14||||||||15|||||0|0|||||||62|45|29||10|76|69|75||47|76|69||42|73|65|||36|74|65|||25|24|13||32|17|10|70||||||||91|92|93|92|93|94|19|25|22|14|19|19|24|40|41|29|26|27||0|0||||89|90|90|91|91|91|30|55|56|36|32|34|22|42|40|28|25||48|42|36|30|27|25|33|34|29|23|17|13|57|56|65|56|31|32|56|52|53|48|33|34|58|54|55|50|34|36|53|58|59|58|59||61|62|60|54|58|58|63|70|64|32|75|94|94|56|77|35|22|29||78|84|4|40|64|57|31|31|31|60|87|84|36|33|33|79|80|80|82|87||36|74|65|||3|50|89|86|0
000EB|||76||||||||9|||||||||1|1|40|65|||||2||||||||0|37|5|||100|96|77||||||40|25|26|21|13|20|16|16||75|21|27||73|17|21||10|65|18|21||5|62|64|7||32|27|18|16||99|43||||15|81|82|85|85|85|85|10|10|14|16|16|16|26|34|32|47|42|36||||46|0|0|64|65|68|69|69|68|27|39|35|78|70|61|8|25|18|70|45||37|35|38|49|54|52|35|35|38|51|56|55|85|82|77|76|25|26|92|92|90|90|0|0|97|97|95|96|0|0|80|79|78|79|80||93|92|91|91|92|91|16|37|19|3|95|73|71|3|5|2|3|2||20|48||29|32|29|43|39|30||39|36||||42|39|35|41|47||65|18|21||5||4|56|54|71
000ED|15|16|13||8||||8|15||||||||||14|25|23||||85|74||||21|||||98|||||98|96|||||||91|94|||81|87|92|||75|88|||55|78|||26|57|79|||35|50|77||||5|17|||87|99||||85|15|15|24|23|22|21|90|93|94|94|96|99||98|98|99|99|99|93|89|59|0|0|0|32|31|30|27|25|23||88|86|87|87|||68|62|65|62||||||||||||||13|27|12|15|13|16|49|0|32|0|0|0|52|0|32|0|0|0|||||||20|22|28|27|25||34|27|38|46||42|45|19|24|35|63|36||33|34|||90|90|91|93|99|||||||28|49|53|63|70||57|79|||35||24|32|34|57
000EE|89||||97||||83|||||||||||98|96|90||||42|||||||||||||||0|0|||||||||||96|||||||||99||||94|99||||97|34||||51|||||||||||46|47|0|0|||14|13||||||42|||||0|0|||||30|31|27|6||||87|40|||||71|31||||47|51||24|||27|41|||||58|49|1|88|||65|56|0||||68|58|0||||72||||||99|99|0||||61|69|55|31|66|20|29|65|28|92|91|80||51|18|||37|||||81|77|||||82||||||99||||98||24|22|37|90
